,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,lat,long,county_fips,state_fips,weather
122828,15000,1937.0,,La Salle,good,8 cylinders,gas,49565.0,clean,manual,,rwd,,coupe,green,44.6713,-93.6195,27139.0,27.0,43.0
122829,24980,1974.0,mercedes-benz,sl450,,,gas,69297.0,clean,automatic,,,,convertible,red,36.063839,-115.02167800000001,32003.0,32.0,46.0
122830,3100,1986.0,honda,crx,,,gas,,clean,manual,,,,,,34.0493,-118.2917,6037.0,6.0,59.0
122833,22500,2019.0,kia,sorrento lx/l,,,gas,,clean,automatic,,,,,,33.230773,-117.97898500000001,,,
122837,6950,2014.0,toyota,corolla,,4 cylinders,gas,67308.0,clean,automatic,2T1BURHE3EC181304,fwd,compact,sedan,red,25.826667999999998,-80.240922,12086.0,12.0,65.0
122839,19000,1969.0,chevrolet,el camino,,,gas,,clean,automatic,,,,,,34.0559,-118.2666,6037.0,6.0,59.0
122840,2500,1987.0,toyota,supra,,,gas,,clean,automatic,,,,,,33.8315,-118.1811,6037.0,6.0,59.0
122842,19950,2018.0,ram,2500,,8 cylinders,gas,18540.0,salvage,automatic,3C6UR5HJ3JG190933,4wd,full-size,pickup,black,25.826667999999998,-80.240922,12086.0,12.0,65.0
122848,16995,2012.0,mercedes,e350,excellent,6 cylinders,gas,63400.0,clean,automatic,WDDHF5KB0CA536061,rwd,mid-size,sedan,grey,43.655826,-116.36501299999999,16001.0,16.0,47.0
122849,3100,2008.0,ford,,,,gas,117000.0,salvage,automatic,,,,,,34.0637,-118.4408,6037.0,6.0,59.0
122851,8450,2012.0,toyota,highlander,,6 cylinders,gas,106277.0,salvage,automatic,5TDZK3EH7CS061025,fwd,mid-size,SUV,grey,25.826667999999998,-80.240922,12086.0,12.0,65.0
122852,29800,1949.0,ford,business coupe,,,gas,85022.0,clean,manual,,,,coupe,red,36.063839,-115.02167800000001,32003.0,32.0,46.0
122853,29999,1972.0,dodge,power wagon,excellent,8 cylinders,gas,7000.0,clean,automatic,w2be2s538621,4wd,full-size,truck,white,43.9791,-75.6013,36045.0,36.0,53.0
122858,63000,2015.0,bmw,m4,,6 cylinders,gas,29000.0,rebuilt,automatic,,rwd,,,red,48.7974,-122.4448,53073.0,53.0,50.0
122869,8,1937.0,chrysler,,,,gas,,missing,manual,,,,,,40.7896,-74.3202,34013.0,34.0,52.0
122875,7200,2004.0,lincoln,town car,,,gas,70000.0,clean,automatic,1LNHM83W34Y613819,,,,,35.9959,-115.1576,32003.0,32.0,46.0
122877,6200,2009.0,toyota,corolla s,,,gas,140000.0,clean,automatic,,,,,,34.265556,-117.86723500000001,6037.0,6.0,59.0
122882,191900,2018.0,,Porsche 911 GT3,,,gas,,clean,manual,,,,,,34.042333,-118.246536,6037.0,6.0,59.0
122896,16000,1972.0,,Ghuia,,,gas,,clean,manual,,,,,,29.8617,-95.3403,48201.0,48.0,67.0
122897,49500,1971.0,jaguar,xke series iii,good,12 cylinders,gas,60000.0,clean,manual,,,,convertible,,40.7428,-73.7588,36081.0,36.0,53.0
122901,4300,2009.0,toyota,corolla,,,gas,,salvage,automatic,,,,,,33.7339,-118.2914,6037.0,6.0,59.0
122903,1900,2001.0,ford,f150,,,gas,,clean,automatic,,,,,,-51.549602,-25.117193,,,
122904,1350,1997.0,,1997 civic,,,gas,,clean,manual,,,,,,-51.122075,-25.279366,,,
122905,1650,2002.0,,nissaan altima,,,gas,,clean,automatic,,,,,,-51.549602,-25.117193,,,
122908,47500,2017.0,bmw,m2,like new,6 cylinders,gas,5200.0,clean,manual,WBS1H9C39HV888374,rwd,compact,coupe,grey,31.535,-97.1899,48309.0,48.0,67.0
122921,5400,2010.0,honda,civic,,,gas,,clean,automatic,,,,,,33.8045,-118.1876,6037.0,6.0,59.0
122928,3495,2012.0,chevrolet,malibu,,,gas,,salvage,automatic,,,,,,39.6956,-105.0341,8031.0,8.0,45.0
122929,35000,1955.0,dodge,,,,gas,,clean,manual,,,,,,45.090011,-112.83780900000001,30001.0,30.0,40.0
122938,10000,2012.0,chrysler,300,like new,,gas,72000.0,clean,automatic,,,,,white,34.4262,-118.449,6037.0,6.0,59.0
122939,2800,2002.0,ford,,good,other,gas,220000.0,clean,automatic,,,full-size,van,white,33.831815999999996,-118.217003,6037.0,6.0,59.0
122940,2600,2003.0,infinity,i35,,,gas,,clean,automatic,,,,,,34.153039,-118.389702,6037.0,6.0,59.0
122943,90000,1957.0,dodge,d100,,,gas,,clean,automatic,,,,,,29.5785,-95.6066,48157.0,48.0,67.0
122944,14000,1964.0,chevy,impala ss,,,gas,,clean,automatic,,,,,,40.5688,-111.8617,49035.0,49.0,50.0
122945,14000,1964.0,chevy,impala ss,,,gas,,clean,automatic,,,,,,40.5688,-111.8617,49035.0,49.0,50.0
122947,3400,2008.0,nissan,altima 2.5 sl 2008,excellent,4 cylinders,gas,167110.0,clean,automatic,,fwd,full-size,sedan,green,33.9497,-118.2462,6037.0,6.0,59.0
122948,9600,2013.0,hyundai,santa fe,good,4 cylinders,gas,113197.0,clean,automatic,,,,SUV,,34.0493,-118.2917,6037.0,6.0,59.0
122949,10000,1967.0,ford,mustang,good,8 cylinders,gas,59000.0,clean,manual,,,,,,44.5712,-124.06,41041.0,41.0,50.0
122950,2750,1993.0,toyota,4 runner,excellent,6 cylinders,gas,150.0,clean,automatic,,rwd,full-size,SUV,custom,33.7855,-118.2645,6037.0,6.0,59.0
122951,6400,2006.0,toyota,sienna,,,gas,,clean,automatic,,,,,,34.4336,-118.5007,6037.0,6.0,59.0
122952,2900,2002.0,,toyata camry,,,gas,,clean,automatic,,,,,,33.8867,-118.1265,6037.0,6.0,59.0
122953,15000,1953.0,ford,coe,,,other,,clean,manual,,,,,,37.0628,-93.5476,29043.0,29.0,52.0
122954,6997,2007.0,honda,civic coupe,excellent,4 cylinders,gas,,clean,automatic,,,,sedan,,33.788216,-117.833248,6059.0,6.0,59.0
122955,2999,2003.0,volvo,s80 2.9,good,6 cylinders,gas,,clean,automatic,,fwd,full-size,sedan,black,34.1557,-118.6,6037.0,6.0,59.0
122956,8900,2016.0,kia,forte,excellent,,gas,,clean,automatic,,fwd,mid-size,sedan,red,33.522771,-117.884285,,,
122957,11500,2014.0,ford,,excellent,,gas,,clean,automatic,,,,,black,34.0665,-118.3022,6037.0,6.0,59.0
122958,14500,2012.0,chevrolet,silverado 1500 xlt,excellent,8 cylinders,other,121289.0,clean,automatic,1GCRKPE78CZ318951,4wd,full-size,pickup,green,33.634345,-117.710094,6059.0,6.0,59.0
122959,10500,2013.0,ford,escape se,excellent,4 cylinders,gas,93444.0,clean,automatic,,4wd,full-size,SUV,white,33.636203,-117.71043799999998,6059.0,6.0,59.0
122960,7199,2007.0,lexus,is250,,,gas,,clean,automatic,,,,,,19.820861999999998,-93.195752,,,
122961,2500,2000.0,vw,golf gti,good,6 cylinders,gas,182000.0,clean,manual,,fwd,compact,hatchback,red,34.2556,-118.4208,6037.0,6.0,59.0
122962,19500,1963.0,chevy,impala ss,,,gas,,clean,automatic,31847L229098,,,,,38.7349,-108.0604,8029.0,8.0,45.0
122963,39995,2016.0,chevrolet,express 3500,,,,23600.0,clean,automatic,1GB3GRCG8G1254439,,,,,34.070311,-117.446303,6071.0,6.0,59.0
122964,14300,2013.0,mercedes,benz,,,gas,61000.0,salvage,other,,,,,,34.2556,-118.4208,6037.0,6.0,59.0
122966,11000,1971.0,datsun,510,,,gas,,clean,manual,,,,,,33.782,-118.1835,6037.0,6.0,59.0
122967,1000,2018.0,,Lamborghini,,,gas,,clean,automatic,,,,,,34.029,-118.4005,6037.0,6.0,59.0
122968,3800,2012.0,chevrolet,malibu,,,gas,,clean,automatic,,,,,,39.6956,-105.0341,8031.0,8.0,45.0
122969,5500,2007.0,toyota,camry le 4dr sedan,excellent,4 cylinders,gas,93239.0,clean,automatic,,,,,,34.0133,-118.113,6037.0,6.0,59.0
122970,1800,2002.0,toyota,camry solara,excellent,6 cylinders,gas,,clean,automatic,,fwd,,,silver,34.6017,-118.23100000000001,6037.0,6.0,59.0
122971,24000,2011.0,ram,5500,,,diesel,,clean,automatic,,,,,,34.2057,-118.4001,6037.0,6.0,59.0
122972,4100,2004.0,honda,cr-v,,,gas,,clean,automatic,,,,,,34.265556,-117.86723500000001,6037.0,6.0,59.0
122973,9995,2018.0,chevrolet,malibu,,,gas,,clean,automatic,,,,,,39.6956,-105.0341,8031.0,8.0,45.0
122974,22500,1948.0,buick,roadmaster,excellent,8 cylinders,gas,,clean,manual,,rwd,full-size,,red,47.2825,-122.5039,53053.0,53.0,50.0
122975,10000,2007.0,dodge,,,,gas,,clean,automatic,,,,,,34.2057,-118.4001,6037.0,6.0,59.0
122976,36995,2016.0,mercedes-benz,sprinter 2500,,,diesel,39228.0,clean,automatic,WD3PE8DDXGP323351,,,,,34.070311,-117.446303,6071.0,6.0,59.0
122977,6800,2008.0,toyota,prius,excellent,4 cylinders,hybrid,,clean,automatic,,fwd,compact,hatchback,black,34.1092,-117.7183,6037.0,6.0,59.0
122978,4500,2002.0,lexus,es 300 es300,excellent,6 cylinders,gas,105000.0,salvage,automatic,JTHBF30G420041965,fwd,,sedan,black,34.200374,-118.44789499999999,6037.0,6.0,59.0
122979,500,1996.0,bmw,3 series 328i,fair,6 cylinders,gas,190487.0,clean,automatic,,rwd,compact,convertible,blue,34.1287,-117.8552,6037.0,6.0,59.0
122980,28000,1948.0,ford,woody wagon,good,,gas,75000.0,clean,automatic,,rwd,,,,26.2534,-81.7644,12021.0,12.0,65.0
122983,2600,2008.0,jeep,patriot 4x4,,4 cylinders,gas,120.0,clean,automatic,,,,,,34.1005,-118.3254,6037.0,6.0,59.0
