,url,city,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,image_url,lat,long,county_fips,county_name,state_fips,state_code,state_name,weather
681338,https://losangeles.craigslist.org/lac/cto/d/2016-kia-forte/6747507789.html,losangeles,6500,2016.0,kia,forte,like new,4 cylinders,gas,22000.0,salvage,automatic,,fwd,compact,sedan,grey,https://images.craigslist.org/00T0T_8SxlGEntpCe_600x450.jpg,34.0245,-118.1975,6037.0,Los Angeles,6.0,CA,California,59.0
681339,https://losangeles.craigslist.org/lac/cto/d/espacio-para-auto-body/6742114960.html,losangeles,1500,2019.0,chevrolet,,like new,4 cylinders,gas,200.0,salvage,automatic,,fwd,compact,sedan,red,https://images.craigslist.org/00Z0Z_iXXObL0IqYD_600x450.jpg,34.0245,-118.1561,6037.0,Los Angeles,6.0,CA,California,59.0
681340,https://losangeles.craigslist.org/sgv/cto/d/1998-toyota-camry-4-cylinder/6740813200.html,losangeles,1990,1998.0,toyota,camry le,,4 cylinders,gas,140000.0,clean,automatic,,fwd,,sedan,,https://images.craigslist.org/00a0a_G8jLAxpb4r_600x450.jpg,34.1243,-118.0515,6037.0,Los Angeles,6.0,CA,California,59.0
681341,https://losangeles.craigslist.org/lac/cto/d/espacio-para-auto-body/6742115194.html,losangeles,1500,2019.0,chevrolet,,like new,4 cylinders,gas,200.0,salvage,automatic,,fwd,compact,sedan,red,https://images.craigslist.org/00Z0Z_iXXObL0IqYD_600x450.jpg,34.0245,-118.1561,6037.0,Los Angeles,6.0,CA,California,59.0
681342,https://losangeles.craigslist.org/lac/cto/d/espacio-para-auto-body/6742971180.html,losangeles,1500,2019.0,chevrolet,,like new,4 cylinders,gas,200.0,salvage,automatic,,fwd,compact,sedan,red,https://images.craigslist.org/00Z0Z_iXXObL0IqYD_600x450.jpg,34.0245,-118.1561,6037.0,Los Angeles,6.0,CA,California,59.0
681343,https://losangeles.craigslist.org/lac/cto/d/espacio-para-auto-body/6742114509.html,losangeles,1500,2019.0,chevrolet,,like new,4 cylinders,gas,200.0,salvage,automatic,,fwd,compact,sedan,red,https://images.craigslist.org/00Z0Z_iXXObL0IqYD_600x450.jpg,34.0245,-118.1561,6037.0,Los Angeles,6.0,CA,California,59.0
681344,https://losangeles.craigslist.org/sfv/cto/d/1951-chevy-pickup/6731166213.html,losangeles,13250,1951.0,chevrolet,3100,excellent,5 cylinders,gas,,clean,manual,hea170082,rwd,mid-size,pickup,blue,https://images.craigslist.org/00d0d_hZ0jLo3Tt2R_600x450.jpg,38.959215,-121.091099,6061.0,Placer,6.0,CA,California,59.0
681345,https://losangeles.craigslist.org/lac/cto/d/espacio-para-auto-body/6742114736.html,losangeles,1500,2019.0,chevrolet,,like new,4 cylinders,gas,200.0,salvage,automatic,,fwd,compact,sedan,red,https://images.craigslist.org/00Z0Z_iXXObL0IqYD_600x450.jpg,34.0245,-118.1561,6037.0,Los Angeles,6.0,CA,California,59.0
681346,https://losangeles.craigslist.org/lac/ctd/d/2012-chevrolet-silverado-lt/6750096783.html,losangeles,19995,2012.0,chevrolet,1500 silverado,excellent,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00b0b_ekb9qr0tvwO_600x450.jpg,34.0522,-118.24299599999999,6037.0,Los Angeles,6.0,CA,California,59.0
681347,https://losangeles.craigslist.org/sgv/cto/d/2005-cadillac-deville-white/6750094081.html,losangeles,3000,2005.0,cadillac,coupe deville,,,gas,,lien,automatic,1G6KD54Y55U201356,,,,,https://images.craigslist.org/00o0o_fTo1q0rwKna_600x450.jpg,34.497383,-117.288823,6071.0,San Bernardino,6.0,CA,California,59.0
681348,https://losangeles.craigslist.org/wst/cto/d/18-mercedes-c300/6725300944.html,losangeles,30000,2018.0,mercedes-benz,c300,like new,,gas,,clean,automatic,,,full-size,,black,https://images.craigslist.org/01414_kyoN02fSdLq_600x450.jpg,34.1802,-118.4324,6037.0,Los Angeles,6.0,CA,California,59.0
681349,https://losangeles.craigslist.org/sfv/ctd/d/2015-nissan-nv200-nv-200-nv/6750097053.html,losangeles,266,2015.0,nissan,nv200 sv,,4 cylinders,gas,47044.0,clean,automatic,3N6CM0KN9FK720888,fwd,,mini-van,,https://images.craigslist.org/00707_7UoWRKnSFqZ_600x450.jpg,34.193804,-118.492652,6037.0,Los Angeles,6.0,CA,California,59.0
681350,https://losangeles.craigslist.org/wst/cto/d/lexus-is-300/6750093705.html,losangeles,3500,2003.0,mercedes-benz,,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00g0g_irwS0ybqXhZ_600x450.jpg,34.140083000000004,-118.641529,6037.0,Los Angeles,6.0,CA,California,59.0
